,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Lemon/எலுமிச்சை,1, 25 to 30,2017-11-15
54,54,54,Soya beans/சோயா பீன்ஸ்,1, 80 to 100,2017-12-02
55,55,55,Butter Soya/பட்டர் சோயா,1, –,2017-12-02
56,56,56,Senai Kilangu/சேனை கிழங்கு,1, 35,2017-12-02
57,57,57,Karunai Kilangu/கருணைக்கிழங்கு,1, 30,2017-12-02
58,58,58,Drumstick beans/முருங்கை பீன்ஸ்,1, 25,2017-12-02
59,59,59,Mangai Inji/மாங்காய் இஞ்சி,1, 40 to 45,2017-12-02
,Unnamed: 0,Unnamed: 0.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,Lemon/எலுமிச்சை,1, 20 to 35,2017-12-04
1,1,1,Tomato/தக்காளி 1st Quality,1, 20 to 25,2017-12-04
2,2,2,Tomato/தக்காளி 2nd Quality,1, 15 to 20,2017-12-04
3,3,3,Small Onion/சிறிய வெங்காயம்,1, 110 to 140,2017-12-04
4,4,4,Bellary/பெல்லாரி,1, 45 to 50,2017-12-04
5,5,5,Beans/பீன்ஸ் 1st Quality,1, 14 to 26,2017-12-04
6,6,6,Beans/பீன்ஸ் 2nd Quality,1, 15,2017-12-04
7,7,7,Carrot/கேரட் 1st Quality,1, 30 to 40,2017-12-04
8,8,8,Carrot/கேரட் 2nd Quality,1, 25 to 35,2017-12-04
9,9,9,Lady Finger/வெண்டைக்காய்,1, 10,2017-12-04
10,10,10,Tree Drumstick/மரம் முருங்கை,1, 90,2017-12-04
11,11,11,Plant Drumstick/செடி முருங்கை,1, 110,2017-12-04
12,12,12,Beans/அவரை ஒட்டு,1, 8 to 25,2017-12-04
13,13,13,Green Pulses/பச்சை பயிறு,1, 6,2017-12-04
14,14,14,White Pulses/வெள்ளை பயிறு,1, 10,2017-12-04
15,15,15,Zucchini/சுரைக்காய்,1, 2,2017-12-04
16,16,16,Beetroot/பீட்ரூட்,1, 12,2017-12-04
17,17,17,White Pumpkin/வெள்ளை பூசணிக்காய்,1, 3,2017-12-04
18,18,18,Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 5,2017-12-04
19,19,19,Kalla Manga/கள்ள மாங்காய்,1, 85,2017-12-04
20,20,20,OOrutu Manga/உருட்டு மாங்காய்,1, 95,2017-12-04
21,21,21,Potato/உருளைக்கிழங்கு 1st Quality,1, 12 to 18,2017-12-04
22,22,22,Potato/உருளைக்கிழங்கு 2nd Quality,1, 10,2017-12-04
23,23,23,Coconut/தேங்காய் 1st Quality,1, 40 to 45,2017-12-04
24,24,24,Coconut/தேங்காய் 2nd Quality,1, 35 to 40,2017-12-04
25,25,25,Green Chilli/பச்சை மிளகாய்,1, 10 to 15,2017-12-04
26,26,26,Cauliflower/காலிஃபிளவர் 1st Quality,1, 20 to 25,2017-12-04
27,27,27,Cauliflower/காலிஃபிளவர் 2nd Quality,1, 15 to 20,2017-12-04
28,28,28,Green Brinjal/கத்தரிக்காய் பச்சை,1, 15,2017-12-04
29,29,29,Blue Brinjal/கத்தரிக்காய் நீலம்,1, 15,2017-12-04
30,30,30,Banana Thar/வாழை தார்,1, 22 to 24,2017-12-04
31,31,31,Curry Leaves/கறிவேப்பிலை,1, 15,2017-12-04
32,32,32,Gourd/புடலங்காய் 1st Quality,1, 3,2017-12-04
33,33,33,Gourd/புடலங்காய் 2nd Quality,1, –,2017-12-04
34,34,34,Coriander/கொத்தமல்லி 1st Quality,1, 7 to 10,2017-12-04
35,35,35,Coriander/கொத்தமல்லி 2nd Quality,1, –,2017-12-04
36,36,36,Radish/முள்ளங்கி 1st Quality,1, 20,2017-12-04
37,37,37,Radish/முள்ளங்கி 2nd Quality,1, 15,2017-12-04
38,38,38,Ginger/இஞ்சி,1, 30 to 35,2017-12-04
39,39,39,Butter Beans/பட்டர் பீன்ஸ்,1, 80 to 90,2017-12-04
40,40,40,Cabbage/முட்டை கோஸ்,1, 20 to 30,2017-12-04
41,41,41,Green Peas/பச்சை பட்டாணி,1, 80 to 100,2017-12-04
42,42,42,Bitter Gourd/பாகற்காய்,1, 7.50,2017-12-04
43,43,43,Nookal/நூக்கல்,1, 20,2017-12-04
44,44,44,Chaw Chaw/சவ்சவ்,1, 6,2017-12-04
45,45,45,Kovakkai/கோவக்காய்,1, 16,2017-12-04
46,46,46,Cluster Beans/கொத்தவரங்காய்,1, 10,2017-12-04
47,47,47,Gooseberry/நெல்லிக்காய்,1, 15 to 20,2017-12-04
48,48,48,Narthangai/நார்த்தங்காய்,1, 16,2017-12-04
49,49,49,Cucumber/வெள்ளரிக்காய்,1, 15,2017-12-04
50,50,50,Garlic/வெள்ளை பூண்டு,1, 100,2017-12-04
51,51,51,Gourd/பீர்க்கங்காய்,1, 12,2017-12-04
52,52,52,Small Tuber/சிறு கிழங்கு,1, 35,2017-12-04
53,53,53,Colocasia/சேப்பங்கிழங்கு,1, 30,2017-12-04
54,54,54,Soya beans/சோயா பீன்ஸ்,1, 80 to 120,2017-12-04
55,55,55,Butter Soya/பட்டர் சோயா,1, –,2017-12-04
56,56,56,Senai Kilangu/சேனை கிழங்கு,1, 28,2017-12-04
57,57,57,Karunai Kilangu/கருணைக்கிழங்கு,1, 30,2017-12-04
58,58,58,Drumstick beans/முருங்கை பீன்ஸ்,1, 25,2017-12-04
59,59,59,Mangai Inji/மாங்காய் இஞ்சி,1, 40,2017-12-04
,Unnamed: 0,Unnamed: 0.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,Lemon/எலுமிச்சை,1, 20 to 35,2017-12-05
1,1,1,Tomato/தக்காளி 1st Quality,1, 20 to 25,2017-12-05
2,2,2,Tomato/தக்காளி 2nd Quality,1, 15 to 20,2017-12-05
3,3,3,Small Onion/சிறிய வெங்காயம்,1, 110 to 120,2017-12-05
4,4,4,Bellary/பெல்லாரி,1, 35 to 40,2017-12-05
5,5,5,Beans/பீன்ஸ் 1st Quality,1, 15 to 30,2017-12-05
6,6,6,Beans/பீன்ஸ் 2nd Quality,1, 10 to 25,2017-12-05
7,7,7,Carrot/கேரட் 1st Quality,1, 40 to 50,2017-12-05
8,8,8,Carrot/கேரட் 2nd Quality,1, 35 to 45,2017-12-05
9,9,9,Lady Finger/வெண்டைக்காய்,1, 13,2017-12-05
10,10,10,Tree Drumstick/மரம் முருங்கை,1, 90,2017-12-05
11,11,11,Plant Drumstick/செடி முருங்கை,1, 110,2017-12-05
12,12,12,Beans/அவரை ஒட்டு,1, 10 to 25,2017-12-05
13,13,13,Green Pulses/பச்சை பயிறு,1, 7,2017-12-05
14,14,14,White Pulses/வெள்ளை பயிறு,1, 10,2017-12-05
15,15,15,Zucchini/சுரைக்காய்,1, 2,2017-12-05
16,16,16,Beetroot/பீட்ரூட்,1, 11,2017-12-05
17,17,17,White Pumpkin/வெள்ளை பூசணிக்காய்,1, 2 to 5,2017-12-05
18,18,18,Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 5,2017-12-05
19,19,19,Kalla Manga/கள்ள மாங்காய்,1, 80,2017-12-05
20,20,20,OOrutu Manga/உருட்டு மாங்காய்,1, 75 to 85,2017-12-05
21,21,21,Potato/உருளைக்கிழங்கு 1st Quality,1, 12 to 15,2017-12-05
22,22,22,Potato/உருளைக்கிழங்கு 2nd Quality,1, 10,2017-12-05
23,23,23,Coconut/தேங்காய் 1st Quality,1, 40 to 45,2017-12-05
24,24,24,Coconut/தேங்காய் 2nd Quality,1, 35 to 40,2017-12-05
25,25,25,Green Chilli/பச்சை மிளகாய்,1, 10 to 15,2017-12-05
26,26,26,Cauliflower/காலிஃபிளவர் 1st Quality,1, 20 to 25,2017-12-05
27,27,27,Cauliflower/காலிஃபிளவர் 2nd Quality,1, 15 to 20,2017-12-05
28,28,28,Green Brinjal/கத்தரிக்காய் பச்சை,1, 24 to 25,2017-12-05
29,29,29,Blue Brinjal/கத்தரிக்காய் நீலம்,1, 30,2017-12-05
30,30,30,Banana Thar/வாழை தார்,1, 24 to 25,2017-12-05
31,31,31,Curry Leaves/கறிவேப்பிலை,1, 15 to 20,2017-12-05
32,32,32,Gourd/புடலங்காய் 1st Quality,1, 3,2017-12-05
33,33,33,Gourd/புடலங்காய் 2nd Quality,1, –,2017-12-05
34,34,34,Coriander/கொத்தமல்லி 1st Quality,1, 7 top 10,2017-12-05
35,35,35,Coriander/கொத்தமல்லி 2nd Quality,1, –,2017-12-05
36,36,36,Radish/முள்ளங்கி 1st Quality,1, 20,2017-12-05
37,37,37,Radish/முள்ளங்கி 2nd Quality,1, 15,2017-12-05
38,38,38,Ginger/இஞ்சி,1, 25 to 30,2017-12-05
39,39,39,Butter Beans/பட்டர் பீன்ஸ்,1, 80 to 100,2017-12-05
40,40,40,Cabbage/முட்டை கோஸ்,1, 25 to 30,2017-12-05
41,41,41,Green Peas/பச்சை பட்டாணி,1, 120,2017-12-05
42,42,42,Bitter Gourd/பாகற்காய்,1, 7 to 8,2017-12-05
43,43,43,Nookal/நூக்கல்,1, 20,2017-12-05
44,44,44,Chaw Chaw/சவ்சவ்,1, 4 to 5,2017-12-05
45,45,45,Kovakkai/கோவக்காய்,1, 10,2017-12-05
46,46,46,Cluster Beans/கொத்தவரங்காய்,1, 9 to 10,2017-12-05
47,47,47,Gooseberry/நெல்லிக்காய்,1, 20 to 25,2017-12-05
48,48,48,Narthangai/நார்த்தங்காய்,1, 20,2017-12-05
49,49,49,Cucumber/வெள்ளரிக்காய்,1, 12,2017-12-05
50,50,50,Garlic/வெள்ளை பூண்டு,1, 130 to 140,2017-12-05
51,51,51,Gourd/பீர்க்கங்காய்,1, 12,2017-12-05
52,52,52,Small Tuber/சிறு கிழங்கு,1, 35,2017-12-05
53,53,53,Colocasia/சேப்பங்கிழங்கு,1, 30,2017-12-05
54,54,54,Soya beans/சோயா பீன்ஸ்,1, 100,2017-12-05
55,55,55,Butter Soya/பட்டர் சோயா,1, –,2017-12-05
56,56,56,Senai Kilangu/சேனை கிழங்கு,1, 28,2017-12-05
57,57,57,Karunai Kilangu/கருணைக்கிழங்கு,1, 35,2017-12-05
58,58,58,Drumstick beans/முருங்கை பீன்ஸ்,1, 25,2017-12-05
59,59,59,Mangai Inji/மாங்காய் இஞ்சி,1, 40,2017-12-05
,Unnamed: 0,Unnamed: 0.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,Lemon/எலுமிச்சை,1, 30 to 35,2017-12-06
1,1,1,Tomato/தக்காளி 1st Quality,1, 20 to 25,2017-12-06
2,2,2,Tomato/தக்காளி 2nd Quality,1, 15 to 20,2017-12-06
3,3,3,Small Onion/சிறிய வெங்காயம்,1, 70 to 130,2017-12-06
4,4,4,Bellary/பெல்லாரி,1, 30 to 42,2017-12-06
5,5,5,Beans/பீன்ஸ் 1st Quality,1, 35 to 40,2017-12-06
6,6,6,Beans/பீன்ஸ் 2nd Quality,1, 30 to 35,2017-12-06
7,7,7,Carrot/கேரட் 1st Quality,1, 30 to 50,2017-12-06
8,8,8,Carrot/கேரட் 2nd Quality,1, 25 to 45,2017-12-06
9,9,9,Lady Finger/வெண்டைக்காய்,1, 16,2017-12-06
10,10,10,Tree Drumstick/மரம் முருங்கை,1, 100,2017-12-06
11,11,11,Plant Drumstick/செடி முருங்கை,1, 120,2017-12-06
12,12,12,Beans/அவரை ஒட்டு,1, 12 to 25,2017-12-06
13,13,13,Green Pulses/பச்சை பயிறு,1, 9,2017-12-06
14,14,14,White Pulses/வெள்ளை பயிறு,1, 10,2017-12-06
15,15,15,Zucchini/சுரைக்காய்,1, 3,2017-12-06
16,16,16,Beetroot/பீட்ரூட்,1, 12,2017-12-06
17,17,17,White Pumpkin/வெள்ளை பூசணிக்காய்,1, 2 to 3,2017-12-06
18,18,18,Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 3 to 5,2017-12-06
19,19,19,Kalla Manga/கள்ள மாங்காய்,1, 85,2017-12-06
20,20,20,OOrutu Manga/உருட்டு மாங்காய்,1, 75,2017-12-06
21,21,21,Potato/உருளைக்கிழங்கு 1st Quality,1, 15 to 20,2017-12-06
22,22,22,Potato/உருளைக்கிழங்கு 2nd Quality,1, 10 to 15,2017-12-06
23,23,23,Coconut/தேங்காய் 1st Quality,1, 40 to 45,2017-12-06
24,24,24,Coconut/தேங்காய் 2nd Quality,1, 35 to 40,2017-12-06
25,25,25,Green Chilli/பச்சை மிளகாய்,1, 6 to 15,2017-12-06
26,26,26,Cauliflower/காலிஃபிளவர் 1st Quality,1, 15 to 20,2017-12-06
27,27,27,Cauliflower/காலிஃபிளவர் 2nd Quality,1, 10 to 15,2017-12-06
28,28,28,Green Brinjal/கத்தரிக்காய் பச்சை,1, 12,2017-12-06
29,29,29,Blue Brinjal/கத்தரிக்காய் நீலம்,1, 15,2017-12-06
30,30,30,Banana Thar/வாழை தார்,1, 22 to 24,2017-12-06
31,31,31,Curry Leaves/கறிவேப்பிலை,1, 10 to 15,2017-12-06
32,32,32,Gourd/புடலங்காய் 1st Quality,1, 5,2017-12-06
33,33,33,Gourd/புடலங்காய் 2nd Quality,1, –,2017-12-06
34,34,34,Coriander/கொத்தமல்லி 1st Quality,1, 7 to 10,2017-12-06
35,35,35,Coriander/கொத்தமல்லி 2nd Quality,1, –,2017-12-06
36,36,36,Radish/முள்ளங்கி 1st Quality,1, 20 to 25,2017-12-06
37,37,37,Radish/முள்ளங்கி 2nd Quality,1, 15 to 20,2017-12-06
38,38,38,Ginger/இஞ்சி,1, 25 to 30,2017-12-06
39,39,39,Butter Beans/பட்டர் பீன்ஸ்,1, 80 to 90,2017-12-06
40,40,40,Cabbage/முட்டை கோஸ்,1, 25 to 30,2017-12-06
41,41,41,Green Peas/பச்சை பட்டாணி,1, 80 to 100,2017-12-06
42,42,42,Bitter Gourd/பாகற்காய்,1, 8,2017-12-06
43,43,43,Nookal/நூக்கல்,1, 15 to 20,2017-12-06
44,44,44,Chaw Chaw/சவ்சவ்,1, 8,2017-12-06
45,45,45,Kovakkai/கோவக்காய்,1, 20,2017-12-06
46,46,46,Cluster Beans/கொத்தவரங்காய்,1, 8 to 9,2017-12-06
47,47,47,Gooseberry/நெல்லிக்காய்,1, 20 to 25,2017-12-06
48,48,48,Narthangai/நார்த்தங்காய்,1, 15 to 20,2017-12-06
49,49,49,Cucumber/வெள்ளரிக்காய்,1, 16 to 20,2017-12-06
50,50,50,Garlic/வெள்ளை பூண்டு,1, 100 to 130,2017-12-06
51,51,51,Gourd/பீர்க்கங்காய்,1, 13,2017-12-06
52,52,52,Small Tuber/சிறு கிழங்கு,1, 30,2017-12-06
53,53,53,Colocasia/சேப்பங்கிழங்கு,1, 28,2017-12-06
54,54,54,Soya beans/சோயா பீன்ஸ்,1, 80 to 100,2017-12-06
55,55,55,Butter Soya/பட்டர் சோயா,1, –,2017-12-06
56,56,56,Senai Kilangu/சேனை கிழங்கு,1, 30,2017-12-06
57,57,57,Karunai Kilangu/கருணைக்கிழங்கு,1, 35,2017-12-06
58,58,58,Drumstick beans/முருங்கை பீன்ஸ்,1, 25,2017-12-06
59,59,59,Mangai Inji/மாங்காய் இஞ்சி,1, 25 to 30,2017-12-06
,Unnamed: 0,Unnamed: 0.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,Lemon/எலுமிச்சை,1, 30 to 45,2017-12-07
1,1,1,Tomato/தக்காளி 1st Quality,1, 20 to 25,2017-12-07
2,2,2,Tomato/தக்காளி 2nd Quality,1, 15 to 20,2017-12-07
3,3,3,Small Onion/சிறிய வெங்காயம்,1, 100 to 120,2017-12-07
4,4,4,Bellary/பெல்லாரி,1, 35 to 40,2017-12-07
5,5,5,Beans/பீன்ஸ் 1st Quality,1, 35 to 40,2017-12-07
6,6,6,Beans/பீன்ஸ் 2nd Quality,1, 30 to 35,2017-12-07
7,7,7,Carrot/கேரட் 1st Quality,1, 160,2017-12-07
8,8,8,Carrot/கேரட் 2nd Quality,1, 150,2017-12-07
9,9,9,Lady Finger/வெண்டைக்காய்,1, 20,2017-12-07
10,10,10,Tree Drumstick/மரம் முருங்கை,1, 90,2017-12-07
11,11,11,Plant Drumstick/செடி முருங்கை,1, 110,2017-12-07
12,12,12,Beans/அவரை ஒட்டு,1, 14 to 30,2017-12-07
13,13,13,Green Pulses/பச்சை பயிறு,1, 14,2017-12-07
14,14,14,White Pulses/வெள்ளை பயிறு,1, 16,2017-12-07
15,15,15,Zucchini/சுரைக்காய்,1, 3,2017-12-07
16,16,16,Beetroot/பீட்ரூட்,1, 13,2017-12-07
17,17,17,White Pumpkin/வெள்ளை பூசணிக்காய்,1, 2 to 3,2017-12-07
18,18,18,Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 4 to 5,2017-12-07
19,19,19,Kalla Manga/கள்ள மாங்காய்,1, 75 to 80,2017-12-07
20,20,20,OOrutu Manga/உருட்டு மாங்காய்,1, 85,2017-12-07
21,21,21,Potato/உருளைக்கிழங்கு 1st Quality,1, 12 to 18,2017-12-07
22,22,22,Potato/உருளைக்கிழங்கு 2nd Quality,1, 10,2017-12-07
23,23,23,Coconut/தேங்காய் 1st Quality,1, 40 to 43,2017-12-07
24,24,24,Coconut/தேங்காய் 2nd Quality,1, 35,2017-12-07
25,25,25,Green Chilli/பச்சை மிளகாய்,1, 6 to 10,2017-12-07
26,26,26,Cauliflower/காலிஃபிளவர் 1st Quality,1, 15 to 20,2017-12-07
27,27,27,Cauliflower/காலிஃபிளவர் 2nd Quality,1, 10 to 15,2017-12-07
28,28,28,Green Brinjal/கத்தரிக்காய் பச்சை,1, 20,2017-12-07
29,29,29,Blue Brinjal/கத்தரிக்காய் நீலம்,1, 25,2017-12-07
30,30,30,Banana Thar/வாழை தார்,1, 24 to 25,2017-12-07
31,31,31,Curry Leaves/கறிவேப்பிலை,1, 15 to 20,2017-12-07
32,32,32,Gourd/புடலங்காய் 1st Quality,1, 7,2017-12-07
33,33,33,Gourd/புடலங்காய் 2nd Quality,1, –,2017-12-07
34,34,34,Coriander/கொத்தமல்லி 1st Quality,1, 7 to 10,2017-12-07
35,35,35,Coriander/கொத்தமல்லி 2nd Quality,1, –,2017-12-07
36,36,36,Radish/முள்ளங்கி 1st Quality,1, 20 to 25,2017-12-07
37,37,37,Radish/முள்ளங்கி 2nd Quality,1, 15 to 20,2017-12-07
38,38,38,Ginger/இஞ்சி,1, 20 to 25,2017-12-07
39,39,39,Butter Beans/பட்டர் பீன்ஸ்,1, 80 to 100,2017-12-07
40,40,40,Cabbage/முட்டை கோஸ்,1, 25 to 30,2017-12-07
41,41,41,Green Peas/பச்சை பட்டாணி,1, 100 to 120,2017-12-07
42,42,42,Bitter Gourd/பாகற்காய்,1, 8 to 10,2017-12-07
43,43,43,Nookal/நூக்கல்,1, 20,2017-12-07
