Commodity, Weight in Kg, Price in Rs,Date
Kalla Manga/Mango, 1, 10,2017-05-04
Orutu Manga/Mango, 1, 9,2017-05-04
Potato 1st Quality, 1, 20,2017-05-04
Potato 2nd Quality, 1, 15,2017-05-04
Coconut 1st Quality, –, 25,2017-05-04
Coconut 2nd Quality, –, 20,2017-05-04
Green Chilli, 1, 27 to 60,2017-05-04
Cauliflower 1st Quality, –, 25,2017-05-04
Cauliflower 2nd Quality, –, 20,2017-05-04
Katharikai Pachai, 1, 35 to 40,2017-05-04
Katharikai ootha, 1, 25,2017-05-04
Valai Thar, –, 23 to 25,2017-05-04
Karuveppilai/Curry Leaf, 1 Kattu, 30,2017-05-04
Pudalangai/Snake gourd 1st Quality, 1, 25,2017-05-04
Pudalangai/Snake gourd 2nd Quality, 1, 20,2017-05-04
Kothamalli 1st Quality, 1 kattu, 100 to 110,2017-05-04
Kothamalli 2nd Quality, 1 kattu, 95 to 105,2017-05-04
Mullangi 1st Quality, 1, 35 to 40,2017-05-04
Mullangi 2nd Quality, 1, 30 to 35,2017-05-04
Inji/Ginger, 1, 25,2017-05-04
Butter Beans, 1, 160,2017-05-04
Mutta Kose, 1, 20 to 25,2017-05-04
Pachai Pattani, 1, 80,2017-05-04
Pakarkai, 1, 30 to 35,2017-05-04
Nookal, 1, 40 to 45,2017-05-04
Chaw Chaw, 1, 25 to 30,2017-05-04
Kovakkai, 1, 18,2017-05-04
Kothavarangai, 1, 15,2017-05-04
Nellikai, 1, 40,2017-05-04
Narthangai, 1, 20,2017-05-04
Vellarikai, 1, 28,2017-05-04
Lemon, 1, 60 to 65,2017-03-14
Tomato/Thakkali 1st Quality, 1, 25,2017-03-14
Tomato/Thakkali 2nd Quality, 1, 20,2017-03-14
Small Onion, 1, 45 to 50,2017-03-14
Bellary (Big Onion), 1, 12 to 10,2017-03-14
Beans 1st Quality, –, 60,2017-03-14
Beans 2nd Quality, 1, 55,2017-03-14
Carrot 1st Quality, 1, 20 to 25,2017-03-14
Carrot 2nd Quality, 1, 15 to 20,2017-03-14
Vendai Kai/Lady Finger, 1, 55,2017-03-14
Maram Murungai, 1, 8 to 10,2017-03-14
Chedi Murungai, 1, 16,2017-03-14
Avarai Ottu, 1, 34,2017-03-14
Pachai Payaru, 1, 25,2017-03-14
Vellai Payaru, 1, 35,2017-03-14
Suraikai, 1, 10,2017-03-14
Beetroot, 1, 18 to 20,2017-03-14
Sunami Sambar, 1, 25,2017-03-14
Pusanikai, 1, 18,2017-03-14
Kalla Manga/Mango, 1, 20 to 22,2017-03-14
Orutu Manga/Mango, 1, 15,2017-03-14
Potato 1st Quality, 1, 12 to 15,2017-03-14
Potato 2nd Quality, 1, 7 to 10,2017-03-14
Coconut 1st Quality, –, 25,2017-03-14
Coconut 2nd Quality, –, 20,2017-03-14
Green Chilli, 1, 11 to 33,2017-03-14
Cauliflower 1st Quality, –, 25 to 30,2017-03-14
Cauliflower 2nd Quality, –, 20 to 25,2017-03-14
Katharikai Pachai, 1, 25,2017-03-14
Katharikai ootha, 1, 20,2017-03-14
Valai Thar, –, 20 to 25,2017-03-14
Karuveppilai/Curry Leaf, 1 Kattu, 25,2017-03-14
Pudalangai/Snake gourd 1st Quality, 1, 23,2017-03-14
Pudalangai/Snake gourd 2nd Quality, 1, 18,2017-03-14
Kothamalli 1st Quality, 1 kattu, 15,2017-03-14
Kothamalli 2nd Quality, 1 kattu, 10,2017-03-14
Mullangi 1st Quality, 1, 15,2017-03-14
Mullangi 2nd Quality, 1, 10,2017-03-14
Inji/Ginger, 1, 25,2017-03-14
Butter Beans, 1, 160,2017-03-14
Mutta Kose, 1, 12 to 15,2017-03-14
Pachai Pattani, 1, 25,2017-03-14
Pakarkai, 1, 50,2017-03-14
Nookal, 1, 20,2017-03-14
Chaw Chaw, 1, 20 to 15,2017-03-14
Kovakkai, 1, 23,2017-03-14
Kothavarangai, 1, 30,2017-03-14
Lemon, 1, 40,2017-07-10
Tomato/Thakkali 1st Quality, 1, 80,2017-07-10
Tomato/Thakkali 2nd Quality, 1, 75,2017-07-10
Small Onion, 1, 80 to 90,2017-07-10
Bellary (Big Onion), 1, 12,2017-07-10
Beans 1st Quality, –, 50 to 60,2017-07-10
Beans 2nd Quality, 1, 45 to 55,2017-07-10
Carrot 1st Quality, 1, 60 to 65,2017-07-10
Carrot 2nd Quality, 1, 55 to 60,2017-07-10
Vendai Kai/Lady Finger, 1, 30 to 32,2017-07-10
Maram Murungai, 1, 28,2017-07-10
Chedi Murungai, 1, 20,2017-07-10
Avarai Ottu, 1, 50 to 60,2017-07-10
Pachai Payaru, 1, 25,2017-07-10
Vellai Payaru, 1, 15,2017-07-10
Suraikai, 1, 7,2017-07-10
Beetroot, 1, 18,2017-07-10
Sunami Sambar, 1, 12 to 15,2017-07-10
Pusanikai, 1, 6,2017-07-10
Kalla Manga/Mango, 1, 20,2017-07-10
Orutu Manga/Mango, 1, 16,2017-07-10
Potato 1st Quality, 1, 16 to 18,2017-07-10
Potato 2nd Quality, 1, 10,2017-07-10
Coconut 1st Quality, –, 25 to 28,2017-07-10
Coconut 2nd Quality, –, 20 to23,2017-07-10
Green Chilli, 1, 55 to 62,2017-07-10
Cauliflower 1st Quality, –, 25 to 30,2017-07-10
Cauliflower 2nd Quality, –, 20 to 25,2017-07-10
Katharikai Pachai, 1, 30 to 40,2017-07-10
Katharikai ootha, 1, 25,2017-07-10
Valai Thar, –, 25 to 29,2017-07-10
Karuveppilai/Curry Leaf, 1 Kattu, 25,2017-07-10
Pudalangai/Snake gourd 1st Quality, 1, 25,2017-07-10
Pudalangai/Snake gourd 2nd Quality, 1, 20,2017-07-10
Kothamalli 1st Quality, 1 kattu, 70 to 80,2017-07-10
Kothamalli 2nd Quality, 1 kattu, 65 to 75,2017-07-10
Mullangi 1st Quality, 1, 30,2017-07-10
Mullangi 2nd Quality, 1, 25,2017-07-10
Inji/Ginger, 1, 40,2017-07-10
Butter Beans, 1, 90 to 100,2017-07-10
Mutta Kose, 1, 12 to 15,2017-07-10
Pachai Pattani, 1, 180,2017-07-10
Pakarkai, 1, 19 to 25,2017-07-10
Nookal, 1, 40,2017-07-10
Chaw Chaw, 1, 17,2017-07-10
Kovakkai, 1, 25,2017-07-10
Kothavarangai, 1, 25,2017-07-10
Nellikai, 1, 45,2017-07-10
Narthangai, 1, 40,2017-07-10
Vellarikai, 1, 25,2017-07-10
Lemon, 1, 55 to 60,2017-03-04
Tomato/Thakkali 1st Quality, 1, 20 to 25,2017-03-04
Tomato/Thakkali 2nd Quality, 1, 15 to 20,2017-03-04
Small Onion, 1, 45 to 65,2017-03-04
Bellary (Big Onion), 1, 12 to 15,2017-03-04
Beans 1st Quality, –, 35 to 53,2017-03-04
Beans 2nd Quality, 1, 30 to 48,2017-03-04
Carrot 1st Quality, 1, 15 to 20,2017-03-04
Carrot 2nd Quality, 1, 10 to 15,2017-03-04
Vendai Kai/Lady Finger, 1, 42,2017-03-04
Maram Murungai, 1, 6 to 7,2017-03-04
Chedi Murungai, 1, 8,2017-03-04
Avarai Ottu, 1, 35,2017-03-04
Pachai Payaru, 1, 25,2017-03-04
Vellai Payaru, 1, 35,2017-03-04
Suraikai, 1, 9,2017-03-04
Beetroot, 1, 13,2017-03-04
Sunami Sambar, 1, 20 to 25,2017-03-04
Pusanikai, 1, 13,2017-03-04
Kalla Manga/Mango, 1, 18 to 19,2017-03-04
Orutu Manga/Mango, 1, 15,2017-03-04
Potato 1st Quality, 1, 12 to 15,2017-03-04
Potato 2nd Quality, 1, 7 to 10,2017-03-04
Coconut 1st Quality, –, 25 to 28,2017-03-04
Coconut 2nd Quality, –, 20 to 23,2017-03-04
Green Chilli, 1, 12 to 36,2017-03-04
Cauliflower 1st Quality, –, 20,2017-03-04
Cauliflower 2nd Quality, –, 15,2017-03-04
Katharikai Pachai, 1, 45,2017-03-04
Katharikai ootha, 1, 35,2017-03-04
Valai Thar, –, 25,2017-03-04
Karuveppilai/Curry Leaf, 1 Kattu, 30,2017-03-04
Pudalangai/Snake gourd 1st Quality, 1, 15,2017-03-04
Pudalangai/Snake gourd 2nd Quality, 1, _,2017-03-04
Kothamalli 1st Quality, 1 kattu, 15,2017-03-04
Kothamalli 2nd Quality, 1 kattu, _,2017-03-04
Mullangi 1st Quality, 1, 15 to 20,2017-03-04
Mullangi 2nd Quality, 1, 10 to 15,2017-03-04
Inji/Ginger, 1, 25,2017-03-04
Butter Beans, 1, 180,2017-03-04
Mutta Kose, 1, 6 to 10,2017-03-04
Pachai Pattani, 1, 25,2017-03-04
Pakarkai, 1, 35 to 42,2017-03-04
Nookal, 1, 15,2017-03-04
Chaw Chaw, 1, 30,2017-03-04
Kovakkai, 1, 18,2017-03-04
Kothavarangai, 1, 40 to 42,2017-03-04
Lemon, 1, 55 to 60,2017-06-28
Tomato/Thakkali 1st Quality, 1, 45 to 50,2017-06-28
Tomato/Thakkali 2nd Quality, 1, 40 to 45,2017-06-28
Small Onion, 1, 110 to 120,2017-06-28
Bellary (Big Onion), 1, 12 to 15,2017-06-28
Beans 1st Quality, –, 50 to 60,2017-06-28
Beans 2nd Quality, 1, 45 to 55,2017-06-28
Carrot 1st Quality, 1, 75 to 80,2017-06-28
Carrot 2nd Quality, 1, 70 to 75,2017-06-28
Vendai Kai/Lady Finger, 1, 25,2017-06-28
Maram Murungai, 1, 26,2017-06-28
Chedi Murungai, 1, 14,2017-06-28
Avarai Ottu, 1, 25,2017-06-28
Pachai Payaru, 1, 17,2017-06-28
Vellai Payaru, 1, 27,2017-06-28
Suraikai, 1, 5,2017-06-28
Beetroot, 1, 18,2017-06-28
Sunami Sambar, 1, 15,2017-06-28
Pusanikai, 1, 5.50 to 6,2017-06-28
Kalla Manga/Mango, 1, 15,2017-06-28
Orutu Manga/Mango, 1, 19,2017-06-28
Potato 1st Quality, 1, 18 to 20,2017-06-28
Potato 2nd Quality, 1, 10,2017-06-28
Coconut 1st Quality, –, 20 to 29,2017-06-28
Coconut 2nd Quality, –, 15,2017-06-28
Green Chilli, 1, 65,2017-06-28
Cauliflower 1st Quality, –, 45,2017-06-28
Cauliflower 2nd Quality, –, 40,2017-06-28
Katharikai Pachai, 1, 35,2017-06-28
Katharikai ootha, 1, 40,2017-06-28
Valai Thar, –, 25,2017-06-28
Karuveppilai/Curry Leaf, 1 Kattu, 30,2017-06-28
Pudalangai/Snake gourd 1st Quality, 1, 25,2017-06-28
Pudalangai/Snake gourd 2nd Quality, 1, 20,2017-06-28
Kothamalli 1st Quality, 1 kattu, 140,2017-06-28
Kothamalli 2nd Quality, 1 kattu, 130,2017-06-28
Mullangi 1st Quality, 1, 40 to 45,2017-06-28
Mullangi 2nd Quality, 1, 30 to 40,2017-06-28
Inji/Ginger, 1, 40,2017-06-28
Butter Beans, 1, 160,2017-06-28
Mutta Kose, 1, 20,2017-06-28
Pachai Pattani, 1, 280,2017-06-28
Pakarkai, 1, 40,2017-06-28
Nookal, 1, 45,2017-06-28
Chaw Chaw, 1, 20,2017-06-28
Kovakkai, 1, 25,2017-06-28
Kothavarangai, 1, 20,2017-06-28
Nellikai, 1, 45,2017-06-28
Narthangai, 1, 40,2017-06-28
Vellarikai, 1, 25 to 30,2017-06-28
Lemon, 1, 40 to 45,2017-07-14
Tomato/Thakkali 1st Quality, 1, 70to 80,2017-07-14
Tomato/Thakkali 2nd Quality, 1, 65to 75,2017-07-14
Small Onion, 1, 80 to 90,2017-07-14
Bellary (Big Onion), 1, 12 to 13,2017-07-14
Beans 1st Quality, –, 35 to 45,2017-07-14
Beans 2nd Quality, 1, 30 to 40,2017-07-14
Carrot 1st Quality, 1, 60 to 65,2017-07-14
Carrot 2nd Quality, 1, 55 to 60,2017-07-14
Vendai Kai/Lady Finger, 1, 30 to 32,2017-07-14
Maram Murungai, 1, 27,2017-07-14
Chedi Murungai, 1, 25,2017-07-14
Avarai Ottu, 1, 40 to 50,2017-07-14
Pachai Payaru, 1, 20,2017-07-14
Vellai Payaru, 1, 25,2017-07-14
Suraikai, 1, 7,2017-07-14
Beetroot, 1, 22,2017-07-14
Sunami Sambar, 1, 15,2017-07-14
Pusanikai, 1, 6,2017-07-14
Kalla Manga/Mango, 1, 35,2017-07-14
Orutu Manga/Mango, 1, 25,2017-07-14
Potato 1st Quality, 1, 15 to 18,2017-07-14
Potato 2nd Quality, 1, 10,2017-07-14
Coconut 1st Quality, –, 25 to 30,2017-07-14
Coconut 2nd Quality, –, 20 to 25,2017-07-14
Green Chilli, 1, 55 to 80,2017-07-14
Cauliflower 1st Quality, –, 25,2017-07-14
Cauliflower 2nd Quality, –, 20,2017-07-14
Katharikai Pachai, 1, 25,2017-07-14
Katharikai ootha, 1, 15,2017-07-14
Valai Thar, –, 28 to 32,2017-07-14
Karuveppilai/Curry Leaf, 1 Kattu, 20,2017-07-14
Pudalangai/Snake gourd 1st Quality, 1, 16,2017-07-14
Pudalangai/Snake gourd 2nd Quality, 1, 10,2017-07-14
Kothamalli 1st Quality, 1 kattu, 40,2017-07-14
Kothamalli 2nd Quality, 1 kattu, 35,2017-07-14
Mullangi 1st Quality, 1, 30,2017-07-14
Mullangi 2nd Quality, 1, 25,2017-07-14
Inji/Ginger, 1, 40,2017-07-14
Butter Beans, 1, 120,2017-07-14
Mutta Kose, 1, 12,2017-07-14
Pachai Pattani, 1, 180,2017-07-14
Pakarkai, 1, 30,2017-07-14
Nookal, 1, 40,2017-07-14
Chaw Chaw, 1, 12 to 15,2017-07-14
Kovakkai, 1, 25,2017-07-14
Kothavarangai, 1, 25,2017-07-14
Nellikai, 1, 30 to 32,2017-07-14
Narthangai, 1, 40,2017-07-14
Vellarikai, 1, 25,2017-07-14
Lemon, 1, 30 to 35,2017-02-20
Tomato/Thakkali 1st Quality, 1, 20 to25,2017-02-20
Tomato/Thakkali 2nd Quality, 1, 15 to 20,2017-02-20
Small Onion, 1, 30 to 35,2017-02-20
Bellary (Big Onion), 1, 12 to 15,2017-02-20
Beans 1st Quality, –, 25 to 37,2017-02-20
Beans 2nd Quality, 1, 32 to 20,2017-02-20
Carrot 1st Quality, 1, 12 to 15,2017-02-20
Carrot 2nd Quality, 1, 7 to 10,2017-02-20
Vendai Kai/Lady Finger, 1, 55,2017-02-20
Maram Murungai, 1, 9 to 10,2017-02-20
Chedi Murungai, 1, 13,2017-02-20
Avarai Ottu, 1, 30,2017-02-20
Pachai Payaru, 1, 28,2017-02-20
Vellai Payaru, 1, 35,2017-02-20
Suraikai, 1, 9,2017-02-20
Beetroot, 1, 9,2017-02-20
Sunami Sambar, 1, 20 to 25,2017-02-20
Pusanikai, 1, 8 to 10,2017-02-20
Kalla Manga/Mango, 1, 22,2017-02-20
Orutu Manga/Mango, 1, 15 to 17,2017-02-20
Potato 1st Quality, 1, 15 to 20,2017-02-20
Potato 2nd Quality, 1, 10 to 15,2017-02-20
Coconut 1st Quality, –, 33,2017-02-20
Coconut 2nd Quality, –, 30,2017-02-20
Green Chilli, 1, 13 to 40,2017-02-20
Cauliflower 1st Quality, –, 20,2017-02-20
Cauliflower 2nd Quality, –, 15,2017-02-20
Katharikai Pachai, 1, 34 to 40,2017-02-20
Katharikai ootha, 1, 20,2017-02-20
Valai Thar, –, 28 to 30,2017-02-20
Karuveppilai/Curry Leaf, 1 Kattu, 20,2017-02-20
Pudalangai/Snake gourd 1st Quality, 1, 27,2017-02-20
Pudalangai/Snake gourd 2nd Quality, 1, 22,2017-02-20
Kothamalli 1st Quality, 1 kattu, 10,2017-02-20
Kothamalli 2nd Quality, 1 kattu, 5,2017-02-20
Mullangi 1st Quality, 1, 25,2017-02-20
Mullangi 2nd Quality, 1, 20,2017-02-20
Inji/Ginger, 1, 20 to 25,2017-02-20
Butter Beans, 1, 100,2017-02-20
Mutta Kose, 1, 8,2017-02-20
Pachai Pattani, 1, 25,2017-02-20
Pakarkai, 1, 35,2017-02-20
Nookal, 1, 10,2017-02-20
Chaw Chaw, 1, 10,2017-02-20
Kovakkai, 1, 17,2017-02-20
Kothavarangai, 1, 25,2017-02-20
Lemon, 1, 22 to 25,2017-02-01
Tomato/Thakkali 1st Quality, 1, 15 to 20,2017-02-01
Tomato/Thakkali 2nd Quality, 1, 10 to 12,2017-02-01
Small Onion, 1, 20 to 25,2017-02-01
Bellary (Big Onion), 1, 10 to 12,2017-02-01
Beans 1st Quality, –, 45 to 50,2017-02-01
Beans 2nd Quality, 1, 30 to 38,2017-02-01
Carrot 1st Quality, 1, 15 to 20,2017-02-01
Carrot 2nd Quality, 1, 10 to 12,2017-02-01
Vendai Kai/Lady Finger, 1, 65,2017-02-01
Maram Murungai, 1, 22,2017-02-01
Chedi Murungai, 1, 28 to 35,2017-02-01
Avarai Ottu, 1, 17,2017-02-01
Pachai Payaru, 1, 40,2017-02-01
Vellai Payaru, 1, 18,2017-02-01
Suraikai, 1, 4,2017-02-01
Beetroot, 1, 7,2017-02-01
Sunami Sambar, 1, 10 to 12,2017-02-01
Pusanikai, 1, 8,2017-02-01
Kalla Manga/Mango, 1, 20,2017-02-01
Orutu Manga/Mango, 1, 12 to 15,2017-02-01
Potato 1st Quality, 1, 15 to 20,2017-02-01
Potato 2nd Quality, 1, 12 to 15,2017-02-01
Coconut 1st Quality, –, 30 to 32,2017-02-01
Coconut 2nd Quality, –, 25 to 28,2017-02-01
Green Chilli, 1, 16 to 32,2017-02-01
Cauliflower 1st Quality, –, 12 to 15,2017-02-01
Cauliflower 2nd Quality, –, 8 to 10,2017-02-01
Katharikai Pachai, 1, 25 to 30,2017-02-01
Katharikai ootha, 1, 6,2017-02-01
Valai Thar, –, 30 to 32,2017-02-01
Karuveppilai/Curry Leaf, 1 Kattu, 10,2017-02-01
Pudalangai/Snake gourd 1st Quality, 1, 11,2017-02-01
Pudalangai/Snake gourd 2nd Quality, 1, 8 to 10,2017-02-01
Kothamalli 1st Quality, 1 kattu, 12 to 15,2017-02-01
Kothamalli 2nd Quality, 1 kattu, 8 to 10,2017-02-01
Mullangi 1st Quality, 1, 10 to 15,2017-02-01
Mullangi 2nd Quality, 1, 8 to 10,2017-02-01
Inji/Ginger, 1, 25 to 30,2017-02-01
Butter Beans, 1, 50 to 60,2017-02-01
Mutta Kose, 1, 8 to 10,2017-02-01
Pachai Pattani, 1, 25 to 30,2017-02-01
Pakarkai, 1, 26,2017-02-01
Nookal, 1, 30 to 40,2017-02-01
Chaw Chaw, 1, 8 to 10,2017-02-01
Lemon/எலுமிச்சை,1, 20 to 35,2017-12-02
Tomato/தக்காளி 1st Quality,1, 20 to 25,2017-12-02
Tomato/தக்காளி 2nd Quality,1, 15 to 20,2017-12-02
Small Onion/சிறிய வெங்காயம்,1, 100 to 110,2017-12-02
Bellary/பெல்லாரி,1, 40 to 45,2017-12-02
Beans/பீன்ஸ் 1st Quality,1, 12 to 25,2017-12-02
Beans/பீன்ஸ் 2nd Quality,1, 15,2017-12-02
Carrot/கேரட் 1st Quality,1, 30 to 50,2017-12-02
Carrot/கேரட் 2nd Quality,1, 25 to 45,2017-12-02
Lady Finger/வெண்டைக்காய்,1, 7,2017-12-02
Tree Drumstick/மரம் முருங்கை,1, 70,2017-12-02
Plant Drumstick/செடி முருங்கை,1, 100,2017-12-02
Beans/அவரை ஒட்டு,1, 8 to 30,2017-12-02
Green Pulses/பச்சை பயிறு,1, 7,2017-12-02
White Pulses/வெள்ளை பயிறு,1, 10,2017-12-02
Zucchini/சுரைக்காய்,1, 1.50,2017-12-02
Beetroot/பீட்ரூட்,1, 12,2017-12-02
White Pumpkin/வெள்ளை பூசணிக்காய்,1, 3 to 5,2017-12-02
Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 5,2017-12-02
Kalla Manga/கள்ள மாங்காய்,1, 75,2017-12-02
OOrutu Manga/உருட்டு மாங்காய்,1, 75,2017-12-02
Potato/உருளைக்கிழங்கு 1st Quality,1, 15 to 18,2017-12-02
Potato/உருளைக்கிழங்கு 2nd Quality,1, 10,2017-12-02
Coconut/தேங்காய் 1st Quality,1, 40 to 45,2017-12-02
Coconut/தேங்காய் 2nd Quality,1, 35 to 40,2017-12-02
Green Chilli/பச்சை மிளகாய்,1, 12 to 22,2017-12-02
Cauliflower/காலிஃபிளவர் 1st Quality,1, 15,2017-12-02
Cauliflower/காலிஃபிளவர் 2nd Quality,1, 10,2017-12-02
Green Brinjal/கத்தரிக்காய் பச்சை,1, 15,2017-12-02
Blue Brinjal/கத்தரிக்காய் நீலம்,1, 20,2017-12-02
Banana Thar/வாழை தார்,1, 20 to 24,2017-12-02
Curry Leaves/கறிவேப்பிலை,1, 10 to 15,2017-12-02
Gourd/புடலங்காய் 1st Quality,1, 3,2017-12-02
Gourd/புடலங்காய் 2nd Quality,1, –,2017-12-02
Coriander/கொத்தமல்லி 1st Quality,1, 8 to 10,2017-12-02
Coriander/கொத்தமல்லி 2nd Quality,1, –,2017-12-02
Radish/முள்ளங்கி 1st Quality,1, 20 to 25,2017-12-02
Radish/முள்ளங்கி 2nd Quality,1, 15 to 20,2017-12-02
Ginger/இஞ்சி,1, 25 to 30,2017-12-02
Butter Beans/பட்டர் பீன்ஸ்,1, 80 to 90,2017-12-02
Cabbage/முட்டை கோஸ்,1, 15 to 30,2017-12-02
Green Peas/பச்சை பட்டாணி,1, 80 to 100,2017-12-02
Bitter Gourd/பாகற்காய்,1, 10 to 15,2017-12-02
Nookal/நூக்கல்,1, 20 to 25,2017-12-02
Chaw Chaw/சவ்சவ்,1, 4 to 6,2017-12-02
Kovakkai/கோவக்காய்,1, 15,2017-12-02
Cluster Beans/கொத்தவரங்காய்,1, 10 to 12,2017-12-02
Gooseberry/நெல்லிக்காய்,1, 20 to 28,2017-12-02
Narthangai/நார்த்தங்காய்,1, 25 to 30,2017-12-02
Cucumber/வெள்ளரிக்காய்,1, 20,2017-12-02
Garlic/வெள்ளை பூண்டு,1, 100 to 140,2017-12-02
Gourd/பீர்க்கங்காய்,1, 10 to 12,2017-12-02
Small Tuber/சிறு கிழங்கு,1, 30,2017-12-02
Colocasia/சேப்பங்கிழங்கு,1, 28,2017-12-02
Soya beans/சோயா பீன்ஸ்,1, 80 to 100,2017-12-02
Butter Soya/பட்டர் சோயா,1, –,2017-12-02
Senai Kilangu/சேனை கிழங்கு,1, 35,2017-12-02
Karunai Kilangu/கருணைக்கிழங்கு,1, 30,2017-12-02
Drumstick beans/முருங்கை பீன்ஸ்,1, 25,2017-12-02
Mangai Inji/மாங்காய் இஞ்சி,1, 40 to 45,2017-12-02
Lemon/எலுமிச்சை,1, 20 to 35,2017-12-29
Tomato/தக்காளி 1st Quality,1, 5 to 6,2017-12-29
Tomato/தக்காளி 2nd Quality,1, –,2017-12-29
Small Onion/சிறிய வெங்காயம்,1, 50 to 60,2017-12-29
Bellary/பெல்லாரி,1, 35 to 40,2017-12-29
Beans/பீன்ஸ் 1st Quality,1, 20 to 25,2017-12-29
Beans/பீன்ஸ் 2nd Quality,1, 15 to 20,2017-12-29
Carrot/கேரட் 1st Quality,1, 30 to 45,2017-12-29
Carrot/கேரட் 2nd Quality,1, 25 to 40,2017-12-29
Lady Finger/வெண்டைக்காய்,1, 10,2017-12-29
Tree Drumstick/மரம் முருங்கை,1, –,2017-12-29
Drumstick/முருங்கை,1, 70 to 90,2017-12-29
Beans/அவரை ஒட்டு,1, 15 to 25,2017-12-29
Green Pulses/பச்சை பயிறு,1, 10,2017-12-29
White Pulses/வெள்ளை பயிறு,1, 6,2017-12-29
Zucchini/சுரைக்காய்,1, 2,2017-12-29
Beetroot/பீட்ரூட்,1, 10,2017-12-29
White Pumpkin/வெள்ளை பூசணிக்காய்,1, 2,2017-12-29
Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 3 to 4,2017-12-29
Kalla Manga/கள்ள மாங்காய்,1, 110,2017-12-29
OOrutu Manga/உருட்டு மாங்காய்,1, 90,2017-12-29
Potato/உருளைக்கிழங்கு 1st Quality,1, 12 to 15,2017-12-29
Potato/உருளைக்கிழங்கு 2nd Quality,1, 10,2017-12-29
Coconut/தேங்காய் 1st Quality,1, 40 to 47,2017-12-29
Coconut/தேங்காய் 2nd Quality,1, 35 to 42,2017-12-29
Green Chilli/பச்சை மிளகாய்,1, 10 to 11,2017-12-29
Cauliflower/காலிஃபிளவர் 1st Quality,1, 15 to 20,2017-12-29
